          (   0,    0) (   3,    0) (   4,    0) (   8,    1) (   3,    3) (   0,    2) (   2,    5) (   2,   10) (   0,    1) (   0,    0)
          (   0,    0) (   5,    4) (   4,    2) (   3,    4) (   2,    2) (   2,    2) (   1,    2) (   1,    1) (   1,    2) (   0,    0)
          (   5,    5) (   1,    0) (   1,    1) (   0,    1) (   0,    0) (   2,    0) (   2,    1) (   2,    2) (   3,    4) (   4,    6)
          (   3,    3) (   1,    0) (   0,    0) (   1,    2) (   1,    1) (   2,    0) (   3,    2) (   2,    2) (   1,    2) (   0,    2)
          (   0,    0) (   3,    0) (   1,    1) (   3,    4) (   6,    6) (   7,    9) (   5,    4) (   0,    0) (   1,    2) (   2,    0)
          (   1,    1) (   5,    2) (   2,    2) (   1,    4) (   3,    3) (   0,    2) (   4,    3) (   1,    1) (   1,    2) (   4,    2)
          (   1,    1) (   2,    1) (   3,    1) (   0,    3) (   0,    0) (   2,    0) (   1,    2) (   2,    2) (   1,    2) (   3,    5)
          (   1,    1) (   1,    0) (   2,    2) (   3,    2) (   3,    3) (   1,    1) (   2,    1) (   4,    4) (   1,    2) (   0,    0)
          (   2,    0) (   2,    3) (   0,    0) (   2,    1) (   1,    3) (   1,    1) (   4,    1) (   1,    3) (   2,    3) (   1,    1)
          (   0,    2) (   1,    0) (   2,    2) (   7,    6) (   3,    3) (   3,    3) (   1,    0) (   1,    3) (   2,    1) (   4,    0)
          (   1,    1) (   1,    0) (   3,    3) (   0,    5) (   1,    1) (   0,    0) (   1,    0) (   6,    0) (   0,    1) (   4,    4)
          (   1,    1) (   3,    6) (   2,    0) (   0,    1) (   0,    0) (   3,    3) (   1,    0) (   2,    0) (   1,    2) (   2,    2)
          (   2,    0) (   3,    2) (   0,    0) (   0,    1) (   1,    3) (   0,    0) (   2,    1) (   1,    1) (   6,    7) (   2,    2)
          (   0,    0) (   1,    0) (   0,    0) (   4,    3) (   2,    2) (   3,    3) (   1,    0) (   3,    5) (   0,    0) (   1,    1)
          (   1,    1) (   3,    2) (   4,    2) (   6,    7) (   3,    3) (   8,    8) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
